dw_site_visitor_id,variant_id,expmt_expsr_utc_ts_epoch
359829428,3325,1517794230.689
360138342,3325,1517797685.926
357916418,3324,1517864185.098
359836236,3325,1517859555.599
359788861,3324,1517868878.186
359865151,3324,1517810698.791
359829428,3325,1517794198.313
360056763,3324,1517836658.075
359785394,3324,1517853624.748
360138342,3325,1517797732.661
359820751,3325,1517843658.784
360015541,3324,1517841776.884
359957761,3325,1517857515.167
359811157,3324,1517847363.399
359785394,3324,1517853702.101
360075483,3325,1517818804.251
359857995,3324,1517875050.316
359826325,3324,1517807244.236
359811157,3324,1517847355.893
360046014,3324,1517847288.773
356969021,3325,1517264576.76
357188375,3325,1517264247.187
357188375,3325,1517264362.342
357188375,3325,1517264213.033
357188375,3325,1517264319.225
357188375,3325,1517264342.411
357037151,3324,1517265613.11
357037151,3324,1517264957.199
357017870,3325,1517269703.593
357188375,3325,1517264300.693
357016737,3324,1517270995.515
357016737,3324,1517270977.792
357428810,3325,1517325608.232
357375703,3324,1517342835.413
357522220,3325,1517318918.332
357501357,3324,1517344817.577
357623472,3324,1517288556.805
357501357,3324,1517344831.152
357679387,3325,1517333016.276
357580876,3324,1517345435.148
357623472,3324,1517288516.115
357395942,3324,1517345818.737
357386814,3325,1517326154.48
357428810,3325,1517325574.694
357679387,3325,1517333038.311
357729594,3324,1517349724.942
357571288,3325,1517350696.106
357623472,3324,1517288521.812
357623472,3324,1517288554.595
357679387,3325,1517332970.453
357679387,3325,1517333260.921
357395942,3324,1517345744.538
357428810,3325,1517325598.752
357424396,3325,1517322053.919
357729594,3324,1517349749.692
357421085,3325,1517280596.402
357490089,3325,1517321389.351
357729594,3324,1517349759.096
357474299,3324,1517331161.063
357386814,3325,1517326159.523
357759841,3325,1517334849.952
357679387,3325,1517332956.803
357395942,3324,1517345803.991
357623472,3324,1517288518.479
357474299,3324,1517331119.155
357465365,3324,1517280157.486
357623472,3324,1517288498.429
357742496,3325,1517322478.411
357501357,3324,1517344674.015
210954151,3324,1517337466.892
357474299,3324,1517331150.492
357398048,3325,1517328716.123
357671324,3324,1517294546.774
357381844,3325,1517345071.252
357629174,3325,1517322171.754
357629174,3325,1517322228.251
296426739,3325,1517282141.308
357395942,3324,1517345758.887
357465365,3324,1517280188.607
357623472,3324,1517288505.852
357623472,3324,1517288542.824
357522220,3325,1517318854.174
357623472,3324,1517288555.841
357665540,3324,1517344337.797
357550152,3325,1517335583.635
357623472,3324,1517288519.869
357759841,3325,1517334931.685
357428810,3325,1517325572.388
357712843,3324,1517357353.78
357712843,3324,1517357331.993
357753352,3325,1517358233.794
357712843,3324,1517357337.114
358022810,3325,1517396650.557
357850765,3325,1517382000.565
357797981,3324,1517438624.336
358022810,3325,1517396651.562
357848092,3325,1517364892.304
358213309,3324,1517435765.091
357895284,3325,1517421513.912
358034596,3324,1517409589.693
357865659,3324,1517422909.198
358022810,3325,1517396648.149
357821401,3324,1517422824.653
357817203,3325,1517434128.924
357865659,3324,1517422890.87
357865659,3324,1517422910.795
357865659,3324,1517422897.022
357869296,3325,1517415383.517
357807153,3324,1517421080.984
358034596,3324,1517409554.884
357865659,3324,1517422895.761
357817203,3325,1517434131.835
357817203,3325,1517434134.79
358039376,3325,1517368202.18
358070375,3325,1517380879.441
357865659,3324,1517422881.583
357865659,3324,1517422896.243
357807153,3324,1517421228.863
357891771,3324,1517415554.156
357795724,3324,1517398750.298
357865659,3324,1517422903.566
357865659,3324,1517422855.034
357797981,3324,1517438602.557
357947664,3325,1517443004.602
357966479,3325,1517421094.986
357848092,3325,1517371160.129
358079646,3325,1517421699.03
358022810,3325,1517396624.204
357785716,3325,1517435727.856
358079646,3325,1517421720.245
356452141,3325,1517430016.547
359845373,3325,1517845097.159
360138342,3325,1517797702.452
359845373,3325,1517845133.962
360075483,3325,1517818815.839
