model_idx,tree_idx,node_idx,lchild_idx,rchild_idx,feature_idx,threshold,neg,pos
0,10,14,-1,-1,-2,-2.0,22,1
0,10,15,16,17,5,3.536754985124224,27,24
0,10,16,-1,-1,-2,-2.0,9,13
0,10,17,-1,-1,-2,-2.0,18,11
0,10,18,19,36,0,777.7677172602935,106,65
0,10,19,20,21,0,637.0984699540298,95,47
0,10,20,-1,-1,-2,-2.0,16,0
0,10,21,22,29,0,712.1148329838713,79,47
0,10,22,23,26,5,7.1236029095591995,49,10
0,10,23,24,25,10,9804.441232888234,29,1
0,10,24,-1,-1,-2,-2.0,16,0
0,10,25,-1,-1,-2,-2.0,13,1
0,10,26,27,28,5,10.22027092251008,20,9
0,10,27,-1,-1,-2,-2.0,11,2
0,10,28,-1,-1,-2,-2.0,9,7
0,10,29,30,33,0,743.1699838182749,30,37
0,10,30,31,32,5,10.346740103953863,18,18
0,10,31,-1,-1,-2,-2.0,9,14
0,10,32,-1,-1,-2,-2.0,9,4
0,10,33,34,35,5,7.279160766061005,12,19
0,10,34,-1,-1,-2,-2.0,10,8
0,10,35,-1,-1,-2,-2.0,2,11
0,10,36,-1,-1,-2,-2.0,11,18
0,11,0,1,38,6,5.717035525346657,271,107
0,11,1,2,37,6,2.916447048967912,244,107
0,11,2,3,22,9,939.3862896968546,220,106
0,11,3,4,7,0,632.7495768339138,129,34
0,11,4,5,6,5,4.1706843302448675,30,1
0,11,5,-1,-1,-2,-2.0,18,0
0,11,6,-1,-1,-2,-2.0,12,1
0,11,7,8,13,8,522.8404977930899,99,33
0,11,8,9,10,8,213.3207018977593,45,6
0,11,9,-1,-1,-2,-2.0,17,0
0,11,10,11,12,2,0.07464746631382697,28,6
0,11,11,-1,-1,-2,-2.0,13,1
0,11,12,-1,-1,-2,-2.0,15,5
0,11,13,14,21,7,0.9360086163207929,54,27
0,11,14,15,16,9,405.51883688669665,46,21
0,11,15,-1,-1,-2,-2.0,11,2
0,11,16,17,20,0,722.6843833987062,35,19
0,11,17,18,19,0,697.00533155259,25,5
0,11,18,-1,-1,-2,-2.0,15,2
0,11,19,-1,-1,-2,-2.0,10,3
0,11,20,-1,-1,-2,-2.0,10,14
0,11,21,-1,-1,-2,-2.0,8,6
0,11,22,23,28,0,714.4737249824561,91,72
0,11,23,24,27,15,0.9984622923650137,51,14
0,11,24,25,26,5,9.183208916421611,37,12
0,11,25,-1,-1,-2,-2.0,25,6
0,11,26,-1,-1,-2,-2.0,12,6
0,11,27,-1,-1,-2,-2.0,14,2
0,11,28,29,34,5,7.968155989874227,40,58
0,11,29,30,33,4,1.6635617528406725,30,34
0,11,30,31,32,0,773.230310900244,18,24
0,11,31,-1,-1,-2,-2.0,6,14
